"vd";"id";"u"
0.1915;0.0387225;0
0.192;0.0392106;0
0.1925;0.0397045;0
0.193;0.0402043;0
0.1935;0.0407102;0
0.194;0.0412221;0
0.1945;0.0417401;0
0.195;0.0422643;0
0.1955;0.0427948;0
0.196;0.0433317;0
0.1965;0.0438749;0
0.197;0.0444246;0
0.1975;0.0449809;0
0.198;0.0455437;0
0.1985;0.0461133;0
0.199;0.0466896;0
0.1995;0.0472727;0
0.2;0.0478628;0
0.2005;0.0484598;0
0.201;0.0490639;0
0.2015;0.049675;0
0.202;0.0502934;0
0.2025;0.0509191;0
0.203;0.0515521;0
0.2035;0.0521926;0
0.204;0.0528405;0
0.2045;0.0534961;0
0.205;0.0541593;0
0.2055;0.0548302;0
0.206;0.055509;0
0.2065;0.0561957;0
0.207;0.0568904;0
0.2075;0.0575931;0
0.208;0.058304;0
0.2085;0.0590232;0
0.209;0.0597506;0
0.2095;0.0604865;0
0.21;0.0612309;0
0.2105;0.0619838;0
0.211;0.0627454;0
0.2115;0.0635157;0
0.212;0.0642949;0
0.2125;0.065083;0
0.213;0.0658801;0
0.2135;0.0666863;0
0.214;0.0675017;0
0.2145;0.0683264;0
0.215;0.0691605;0
0.2155;0.070004;0
0.216;0.0708571;0
0.2165;0.0717199;0
0.217;0.0725923;0
0.2175;0.0734747;0
0.218;0.0743669;0
0.2185;0.0752692;0
0.219;0.0761816;0
0.2195;0.0771042;0
0.22;0.0780371;0
0.2205;0.0789805;0
0.221;0.0799343;0
0.2215;0.0808988;0
0.222;0.0818739;0
0.2225;0.0828599;0
0.223;0.0838567;0
0.2235;0.0848646;0
0.224;0.0858836;0
0.2245;0.0869137;0
0.225;0.0879552;0
0.2255;0.0890081;0
0.226;0.0900725;0
0.2265;0.0911485;0
0.227;0.0922362;0
0.2275;0.0933357;0
0.228;0.0944472;0
0.2285;0.0955707;0
0.229;0.0967063;0
0.2295;0.0978541;0
0.23;0.0990143;0
0.2305;0.100187;0
0.231;0.101372;0
0.2315;0.10257;0
0.232;0.103781;0
0.2325;0.105004;0
0.233;0.106241;0
0.2335;0.10749;0
0.234;0.108753;0
0.2345;0.110029;0
0.235;0.111319;0
0.2355;0.112622;0
0.236;0.113938;0
0.2365;0.115269;0
0.237;0.116613;0
0.2375;0.117971;0
0.238;0.119344;0
0.2385;0.12073;0
0.239;0.122131;0
0.2395;0.123546;0
0.24;0.124976;0
