"vin";"id";"unk"
0.213;0.0114818;0
0.214;0.0117461;0
0.215;0.0120161;0
0.216;0.0122921;0
0.217;0.012574;0
0.218;0.0128619;0
0.219;0.0131561;0
0.22;0.0134567;0
0.221;0.0137637;0
0.222;0.0140772;0
0.223;0.0143975;0
0.224;0.0147246;0
0.225;0.0150586;0
0.226;0.0153997;0
0.227;0.015748;0
0.228;0.0161036;0
0.229;0.0164667;0
0.23;0.0168374;0
0.231;0.0172159;0
0.232;0.0176022;0
0.233;0.0179965;0
0.234;0.018399;0
0.235;0.0188098;0
0.236;0.019229;0
0.237;0.0196568;0
0.238;0.0200933;0
0.239;0.0205387;0
0.24;0.0209931;0
0.241;0.0214567;0
0.242;0.0219296;0
0.243;0.0224119;0
0.244;0.0229039;0
0.245;0.0234056;0
0.246;0.0239173;0
0.247;0.024439;0
0.248;0.0249709;0
0.249;0.0255133;0
0.25;0.0260661;0
0.251;0.0266297;0
0.252;0.0272041;0
0.253;0.0277896;0
0.254;0.0283862;0
0.255;0.0289941;0
0.256;0.0296135;0
0.257;0.0302446;0
0.258;0.0308875;0
0.259;0.0315423;0
0.26;0.0322092;0
0.261;0.0328885;0
0.262;0.0335802;0
0.263;0.0342845;0
0.264;0.0350015;0
0.265;0.0357315;0
0.266;0.0364745;0
0.267;0.0372308;0
0.268;0.0380004;0
0.269;0.0387837;0
0.27;0.0395806;0
0.271;0.0403914;0
0.272;0.0412161;0
0.273;0.0420551;0
0.274;0.0429084;0
0.275;0.0437761;0
0.276;0.0446585;0
0.277;0.0455557;0
0.278;0.0464677;0
0.279;0.0473949;0
0.28;0.0483372;0
0.281;0.0492949;0
0.282;0.0502681;0
0.283;0.0512569;0
0.284;0.0522615;0
0.285;0.0532821;0
0.286;0.0543186;0
0.287;0.0553714;0
0.288;0.0564405;0
0.289;0.057526;0
0.29;0.0586281;0
0.291;0.0597468;0
0.292;0.0608825;0
0.293;0.062035;0
0.294;0.0632046;0
0.295;0.0643914;0
0.296;0.0655955;0
0.297;0.066817;0
0.298;0.068056;0
0.299;0.0693126;0
0.3;0.070587;0
